JoinMonth,Churn,Type
2022-01-01,0.2911392405063291,Actual
2022-02-01,0.189873417721519,Actual
2022-03-01,0.18055555555555555,Actual
2022-04-01,0.21052631578947367,Actual
2022-05-01,0.20833333333333334,Actual
2022-06-01,0.2222222222222222,Actual
2022-07-01,0.24615384615384617,Actual
2022-08-01,0.2753623188405797,Actual
2022-09-01,0.21875,Actual
2022-10-01,0.18461538461538463,Actual
2022-11-01,0.17045454545454544,Actual
2022-12-01,0.2,Actual
2023-01-01,0.23076923076923078,Actual
2023-02-01,0.22033898305084745,Actual
2023-03-01,0.25,Actual
2023-04-01,0.203125,Actual
2023-05-01,0.2,Actual
2023-06-01,0.2153846153846154,Actual
2023-07-01,0.23076923076923078,Actual
2023-08-01,0.11764705882352941,Actual
2023-09-01,0.09836065573770492,Actual
2023-10-01,0.16216216216216217,Actual
2023-11-01,0.20588235294117646,Actual
2023-12-01,0.140625,Actual
2024-01-01,0.22727272727272727,Actual
2024-02-01,0.14705882352941177,Actual
2024-03-01,0.11764705882352941,Actual
2024-04-01,0.1,Actual
2024-05-01,0.2,Actual
2024-06-01,0.19117647058823528,Actual
2024-07-01,0.140625,Actual
2024-08-01,0.125,Actual
2024-09-01,0.12307692307692308,Actual
2024-10-01,0.16417910447761194,Actual
2024-11-01,0.13333333333333333,Actual
2024-12-01,0.07894736842105263,Actual
2025-01-01,0.10526315789473684,Actual
2025-02-01,0.07142857142857142,Actual
2025-03-01,0.05555555555555555,Actual
2025-04-01,0.05,Actual
2025-05-01,0.11842105263157894,Actual
2025-06-01,0.14606741573033707,Actual
2025-07-01,0.10204081632653061,Actual
2025-08-01,0.09,Actual
2025-09-01,0.08421052631578947,Actual
2025-10-01,0.058823529411764705,Actual
2025-11-01,0.016574585635359115,Actual
2025-12-01,0.05127710832651105,Forecast
2026-01-01,0.07625292131856984,Forecast
2026-02-01,0.07793021602307604,Forecast
2026-03-01,0.06820536794347519,Forecast
2026-04-01,0.06246711872541108,Forecast
2026-05-01,0.06330852836560268,Forecast
